NUMB,BAND,TIME
0,0,1573323322
1,0,1573323323
2,0,1573323324
3,0,1573323325
4,0,1573323326
5,0,1573323327
6,0,1573323328
7,0,1573323329
8,0,1573323330
9,0,1573323331
10,27.79,1573323332
11,78.3658,1573323333
12,81.0301,1573323334
13,80.1497,1573323335
14,80.671,1573323336
15,83.8218,1573323337
16,78.6438,1573323338
17,74.3461,1573323339
18,78.609,1573323340
19,80.5667,1573323341
20,78.5164,1573323342
21,81.505,1573323343
22,80.2192,1573323344
23,82.6171,1573323345
24,72.9444,1573323346
25,66.469,1573323347
26,61.1519,1573323348
27,57.2365,1573323349
28,48.8613,1573323350
29,46.7067,1573323351
30,49.0814,1573323352
31,45.8958,1573323353
32,46.6604,1573323354
33,48.479,1573323355
34,48.5717,1573323356
35,47.031,1573323357
36,46.9847,1573323358
37,40.9958,1573323359
38,40.7757,1573323360
39,36.8024,1573323361
40,39.5825,1573323362
41,40.5672,1573323363
42,42.0731,1573323364
43,38.8875,1573323365
44,42.2816,1573323366
45,37.4279,1573323367
46,38.8991,1573323368
47,38.5979,1573323369
48,39.9416,1573323370
49,37.3236,1573323371
50,39.1076,1573323372
51,39.5246,1573323373
52,41.9688,1573323374
53,47.3206,1573323375
54,51.1897,1573323376
55,53.1706,1573323377
56,43.2662,1573323378
57,44.8301,1573323379
58,44.4478,1573323380
59,44.8185,1573323381
60,41.7487,1573323382
61,44.0308,1573323383
62,40.3471,1573323384
63,31.439,1573323385
64,29.9331,1573323386
65,29.1222,1573323387
66,28.0796,1573323388
67,27.6973,1573323390
68,28.4387,1573323391
69,30.5123,1573323392
70,29.8056,1573323393
71,29.4118,1573323394
72,28.1375,1573323395
73,27.9869,1573323396
74,27.0139,1573323397
75,27.3846,1573323398
76,28.5198,1573323399
77,29.2959,1573323400
78,29.6666,1573323401
79,30.4312,1573323402
80,30.1995,1573323403
81,30.3385,1573323404
82,28.2186,1573323405
83,28.346,1573323406
84,28.7283,1573323407
85,29.7825,1573323408
86,28.8094,1573323409
87,29.6435,1573323410
88,29.7477,1573323411
89,28.346,1573323412
90,24.2685,1573323413
91,31.4969,1573323414
92,36.7444,1573323415
93,38.7948,1573323416
94,39.4435,1573323417
95,41.2506,1573323418
96,42.9998,1573323419
97,42.0036,1573323420
98,39.71,1573323421
99,36.2695,1573323422
100,35.9683,1573323423
101,37.092,1573323424
102,34.7288,1573323425
103,33.3967,1573323426
104,35.7714,1573323427
105,38.3199,1573323428
106,36.7908,1573323429
107,37.6364,1573323430
108,39.2929,1573323431
109,39.1423,1573323432
110,40.7062,1573323433
111,42.2353,1573323434
112,42.2237,1573323435
113,40.7293,1573323436
114,39.096,1573323437
115,41.9804,1573323438
116,40.8684,1573323439
117,43.9844,1573323440
118,30.1879,1573323441
119,35.0879,1573323442
120,36.6286,1573323443
121,32.47,1573323444
122,23.4113,1573323445
123,32.5858,1573323446
124,36.1421,1573323447
125,35.9683,1573323448
